SKU,Nombre_Producto,Marca,Categoria_Clasificada,Departamento,Precio_Lista_Original_MXN,Precio_Venta_Inauguracion_MXN,Precio_Mayoreo_10pzs_MXN,Cashback_5pct_MXN,Distribuidor,Disponibilidad,Descripcion_Completa,Imagen_Local,URL_CDN
CPUINT5030,"Procesador Intel Core Ultra 7 270K Plus BX80768270K, 36 TOPS - 24 núcleos (8+16), 3.2 Ghz base,",PC CUSTOM,procesadores,⚡ Procesadores para Computadoras,12558.00,9418.50,8611.20,470.93,CT Internacional,,"Procesador Intel Core Ultra 7 270K Plus BX80768270K, 36 TOPS - 24 núcleos (8+16), 3.2 Ghz base, 5.5 Ghz turbo, 36 MB Caché, 125 W base, tecnologías de IA (OpenVINO™, WindowsML, DirectML, ONNX RT, WebNN). Tamaño de memoria máximo 256 GB / hasta DDR5-7200 MTs (2 canales de memoria). INCLUYE GRAFICOS - LGA 1851 - Compatible con chipset serie 800. NECESITA DISIPADOR.",,https://static.ctonline.mx/imagenes/CPUINT5030/CPUINT5030_800.jpg
CPUINT5040,"Procesador Intel Core Ultra 5 250K Plus BX80768250K, 30 TOPS - 18 núcleos (6+12), 3.3 Ghz base,",PC CUSTOM,procesadores,⚡ Procesadores para Computadoras,9544.99,7158.74,6545.14,357.94,CT Internacional,,"Procesador Intel Core Ultra 5 250K Plus BX80768250K, 30 TOPS - 18 núcleos (6+12), 3.3 Ghz base, 5.3 Ghz turbo, 30 MB Caché, 125 W base, tecnologías de IA (OpenVINO™, WindowsML, DirectML, ONNX RT, WebNN). Tamaño de memoria máximo 256 GB / hasta DDR5-7200 MTs (2 canales de memoria). INCLUYE GRAFICOS - LGA 1851 - Compatible con chipset serie 800. NECESITA DISIPADOR.",,https://static.ctonline.mx/imagenes/CPUINT5040/CPUINT5040_800.jpg
CPUINT5050,"Procesador Intel Core Ultra 5 250KF Plus BX80768250KF, 22 TOPS - 18 núcleos (6+12), 3.3 Ghz bas",PC CUSTOM,procesadores,⚡ Procesadores para Computadoras,8802.43,6601.82,6035.95,330.09,CT Internacional,,"Procesador Intel Core Ultra 5 250KF Plus BX80768250KF, 22 TOPS - 18 núcleos (6+12), 3.3 Ghz base, 5.3 Ghz turbo, 30 MB Caché, 125 W base, tecnologías de IA (OpenVINO™, WindowsML, DirectML, ONNX RT, WebNN). Tamaño de memoria máximo 256 GB / hasta DDR5-7200 MTs (2 canales de memoria) - LGA 1851 - Compatible con chipset serie 800. NECESITA GRAFICOS. NECESITA DISIPADOR.",,https://static.ctonline.mx/imagenes/CPUINT5050/CPUINT5050_800.jpg
CPUINT4440,"Procesador Intel® Core™ i7-14700KF (14.a generación), LGA1700, sin gráficos de procesador. 33 M",PC CUSTOM,procesadores,⚡ Procesadores para Computadoras,15515.50,11636.62,10639.20,581.83,CT Internacional,,"Procesador Intel® Core™ i7-14700KF (14.a generación), LGA1700, sin gráficos de procesador. 33 MB caché, 28 hilos. Con tecnología Intel® Turbo Boost Max 3.0 y compatibilidad con PCIe 5.0 y 4.0, compatibilidad con DDR5 5600 y DDR4 3200, los procesadores de escritorio Intel® Core™ i7 de 14.ª generación desbloqueados están optimizados para los jugadores y la productividad y ayudan a ofrecer un alto rendimiento. SE REQUIEREN GRÁFICOS. Compatible con placas base serie 700 y serie 600. Potencia base del procesador de 125 W. DESBLOQUEADO, NECESITA DISIPADOR, NECESITA GRAFICOS, NECESITA ACTUALIZAR BIOS.",,https://static.ctonline.mx/imagenes/CPUINT4440/CPUINT4440_800.jpg
CPUINT4550,"Procesador Intel® Core™ i7-14700F (14.ª generación), sin procesador gráfico. Con tecnología Int",PC CUSTOM,procesadores,⚡ Procesadores para Computadoras,13013.00,9759.75,8923.20,487.99,CT Internacional,,"Procesador Intel® Core™ i7-14700F (14.ª generación), sin procesador gráfico. Con tecnología Intel® Turbo Boost Max 3.0, compatibilidad con PCIe 5.0 y 4.0, compatibilidad con DDR5 y DDR4, los procesadores de escritorio Intel® Core™ i7 (14.ª generación) están optimizados para los jugadores y la productividad y ayudan a ofrecer un alto rendimiento. Se requieren gráficos discretos. Compatible con placas base chipsets serie 700 y serie 600. Potencia base del procesador de 65 W. NECESITA VIDEO.",,https://static.ctonline.mx/imagenes/CPUINT4550/CPUINT4550_800.jpg
CPUINT4430,"Procesador Intel® Core™ i7-14700K (14.ª generación), LGA1700, 33 MB caché, 28 hilos. Con tecnol",PC CUSTOM,procesadores,⚡ Procesadores para Computadoras,15203.82,11402.87,10425.48,570.14,CT Internacional,,"Procesador Intel® Core™ i7-14700K (14.ª generación), LGA1700, 33 MB caché, 28 hilos. Con tecnología Intel® Turbo Boost Max 3.0 y compatibilidad con PCIe 5.0 y 4.0, compatibilidad con DDR5 5600 y DDR4 3200, los procesadores de escritorio Intel® Core™ i7 de 14.ª generación desbloqueados están optimizados para los jugadores y la productividad y ayudan a ofrecer un alto rendimiento. Compatible con placas base serie 700 y serie 600. Potencia base del procesador de 125 W. DESBLOQUEADO, NECESITA DISIPADOR, INCLUYE GRAFICOS, NECESITA ACTUALIZAR BIOS.",,https://static.ctonline.mx/imagenes/CPUINT4430/CPUINT4430_800.jpg
CPUINT4540,"Procesador Intel® Core™ i7-14700 (14.ª generación). Con tecnología Intel® Turbo Boost Max 3.0, ",PC CUSTOM,procesadores,⚡ Procesadores para Computadoras,15773.94,11830.45,10816.42,591.52,CT Internacional,,"Procesador Intel® Core™ i7-14700 (14.ª generación). Con tecnología Intel® Turbo Boost Max 3.0, compatibilidad con PCIe 5.0 y 4.0, compatibilidad con DDR5 y DDR4, los procesadores de escritorio Intel® Core™ i7 (14.ª generación) están optimizados para los jugadores y la productividad y ayudan a ofrecer un alto rendimiento. Compatible con placas base chipsets serie 700 y serie 600. Potencia base del procesador de 65 W.",,https://static.ctonline.mx/imagenes/CPUINT4540/CPUINT4540_800.jpg
CPUINT4460,"Procesador Intel® Core™ i9-14900KF (14.a generación), LGA1700, sin gráficos de procesador. 36 M",PC CUSTOM,procesadores,⚡ Procesadores para Computadoras,18385.64,13789.23,12607.30,689.46,CT Internacional,,"Procesador Intel® Core™ i9-14900KF (14.a generación), LGA1700, sin gráficos de procesador. 36 MB caché, 32 hilos. Con Intel® Thermal Velocity Boost, Intel® Turbo Boost Max Technology 3.0 y compatibilidad con PCIe 5.0 y 4.0, compatibilidad con DDR5 5600 y DDR4 3200, los procesadores de escritorio Intel® Core™ i9 de 14.ª generación desbloqueados están optimizados para jugadores entusiastas y creadores serios y ayudan a ofrecer un alto rendimiento. SE REQUIEREN GRÁFICOS. Compatible con placas base serie 700 y serie 600. Potencia base del procesador de 125 W. DESBLOQUEADO, NECESITA DISIPADOR, NECESITA GRAFICOS, NECESITA ACTUALIZAR BIOS.",,https://static.ctonline.mx/imagenes/CPUINT4460/CPUINT4460_800.jpg
CPUINT4450,"Procesador Intel® Core™ i9-14900K (14.ª generación), LGA 1700, 36 MB caché, 32 hilos. Con Intel",PC CUSTOM,procesadores,⚡ Procesadores para Computadoras,19635.52,14726.64,13464.36,736.33,CT Internacional,,"Procesador Intel® Core™ i9-14900K (14.ª generación), LGA 1700, 36 MB caché, 32 hilos. Con Intel® Thermal Velocity Boost, Intel® Turbo Boost Max Technology 3.0 y compatibilidad con PCIe 5.0 y 4.0, compatibilidad con DDR5 5600 y DDR4 3200, los procesadores de escritorio Intel® Core™ i9 de 14.ª generación desbloqueados están optimizados para jugadores entusiastas y creadores serios y ayudan a ofrecer un alto rendimiento. Compatible con placas base serie 700 y serie 600. Potencia base del procesador de 125 W. DESBLOQUEADO, NECESITA DISIPADOR, INCLUYE GRAFICOS, NECESITA ACTUALIZAR BIOS.",,https://static.ctonline.mx/imagenes/CPUINT4450/CPUINT4450_800.jpg
CPUINT4570,"Procesador Intel® Core™ i9-14900F (14.ª generación), sin procesador gráfico. Con Intel® Thermal",PC CUSTOM,procesadores,⚡ Procesadores para Computadoras,21901.42,16426.07,15018.12,821.30,CT Internacional,,"Procesador Intel® Core™ i9-14900F (14.ª generación), sin procesador gráfico. Con Intel® Thermal Velocity Boost, Intel® Turbo Boost Max Technology 3.0, compatibilidad con PCIe 5.0 y 4.0, compatibilidad con DDR5 y DDR4, los procesadores de escritorio Intel® Core™ i9 (14.ª generación) están optimizados para jugadores entusiastas y creadores serios y ayudan a ofrecer un alto rendimiento. . Se requieren gráficos discretos. Compatible con placas base chipsets serie 700 y serie 600. Potencia base del procesador de 65 W. NECESITA VIDEO.",,https://static.ctonline.mx/imagenes/CPUINT4570/CPUINT4570_800.jpg
